corp_nm,job_title
비엔엑스(beNX),데이터엔지니어 (Data Engineer)
포그리트,BigData 기반 서비스의 FullStack 웹개발
휴톰,AI Data engineer(의료 데이터 분석)
브랜디(Brandi),데이터 엔지니어
넥슨코리아(NEXON),[인텔리전스랩스] 데이터 플랫폼 개발
와이피랩스,[보충역 신규 대상] 데이터 엔지니어(Data engineer) 개발자
컬리,[마켓컬리] Junior 데이터베이스 엔지니어
모노리스,백엔드 개발자 (Backend engineer)
케이티넥스알(KTNexR),솔루션 개발(백엔드)
워트인텔리전스,글로벌 특허검색 검색엔진 설계/운영 개발자
이투스교육,Senior Database Administrator
오케스트로,빅데이터(BIGDATA)팀
케이티넥스알(KTNexR),Cloud Engineer
종하아이앤씨,데이터 엔지니어
버킷플레이스(오늘의집),Sr. Data Engineer (시니어 데이터 엔지니어)
딜리버리히어로 코리아 (Delivery Hero Korea),DBA
텐핑거스(10fingers),데이터 엔지니어 (산업기능요원 가능)
파킹클라우드,데이터베이스 관리자(DBA)
직방,[데이터분석팀] 부동산 데이터 파트(Back-end Engineer)
웨이브릿지,Quant developer
와디즈,플랫폼 개발자
모두싸인,데이터 엔지니어
유젠,연계/데이터 개발자
롯데e커머스,데이터 엔지니어
