corp_nm,detail
베스핀글로벌㈜,                                BigData Solution Architect 채용(경력 7년-12년)                            
제이슨그룹,                                시스템 엔지니어 경력사원 채용                            
㈜푸드나무,                                [랭킹닭컴] 마케팅팀 경력직원 모집                            
㈜솔트룩스,                                인공지능(AI)전문기업 솔트룩스 - 울산 플랫폼 개발자(JAVA)                            
㈜위메프,                                [개발]DW Data Engineer(정규직)                            
에셋플러스자산운용㈜,"                                에셋플러스자산운용(주)의 사내 벤처 알파브릿지에서 빅데이터 엔지니어 파트 충원(Python, 데이터분석, 빅데이터)                            "
이노뎁㈜,                                소프트웨어 기술연구그룹 채용공고                            
케이웨더㈜,                                산업기능요원(보충역) 웹개발 담당 채용                            
주식회사 애드이피션시,                                온라인 퍼포먼스광고 AE 특별채용 [경력/대리급이상]                            
카카오페이,                                [카카오페이] 프로덕트 매니저 영입                            
㈜휴넷,                                2020년 ㈜휴넷 AI R&D (자연어 처리 연구개발) 부문 경력직 모집                            
㈜스마일게이트스토브,                                스마일게이트스토브 개발직군 경력 채용                            
한국전력공사,                                2020년도 3차 연구직 직원 모집                            
이투스교육㈜,                                [이투스교육(주)] 개발자 신입/경력 12월 공개채용                            
롯데정보통신㈜,                                2020년 12월 경력사원 채용                            
롯데정보통신,                                2020년 12월 클라우드 부문 경력사원 채용[SA]                            
롯데정보통신,                                2020년 12월 AI/빅데이터 부문 경력사원 채용[Data Engineer]                            
비아이매트릭스,데이터분석 솔루션 개발자(python) 채용                            
㈜플래티어,                                ㈜플래티어 그루비사업부 콘텐츠 마케팅&브랜드 전략 담당자 모집                            
기아자동차㈜,                                ICT본부 경력 상시채용                            
케이웨더㈜,                                [경력] 시스템 엔지니어 채용(팀원)                            
포티투마루,                                [청년디지털일자리][포티투마루] 인공지능(AI)기반 QA 개발 직군 채용                            
㈜빅밸류,                                핀테크·프롭테크 스타트업 빅밸류 공개채용(사업부 컨설턴트)                            
현대오토에버㈜,                                AI/ 음성인식/ 차량보안/ 빅데이터/ IoT 등 R&D 부문 경력모집                            
㈜씨어스테크놀로지,                                ㈜씨어스테크놀로지 각 분야 경력직 채용                            
㈜한솥,                                (주)한솥 디지털기획운영팀 경력직(팀원) 채용                            
(재)여성기업종합지원센터,                                [모이기술] 빅데이터 정보 등록 및 개발 업무 지원                            
주식회사 휴머스온,                                빅데이터 개발자 모집                            
GS건설㈜,                                [2020년] Machine Learning 개발자 정규직(경력사원) 모집                            
게임빌,                                BI기획팀 BI기획 담당자 채용                            
케이웨더㈜,                                [경력] 웹 개발자 채용(팀원)                            
마인즈랩,                                AI전문기업 (주)마인즈랩 Software Developer 채용                            
㈜투비소프트,                                ㈜투비소프트 - 각 부문별  신입/경력사원 채용                            
㈜핀업,                                C#서버 응용프로그램 개발자 모집                            
