corp_nm,detail
벤처기업,"                                OCR엔진,얼굴검출,차량번호판 인식엔진개발,백엔드-프론트엔드 개발 사원-과장급 00명 채용                            "
중소기업(300명이하),                                java python 영상콘텐츠 하이브리드백엔드 검색개발 과차장급                            
대기업 계열사·자회사,                                부동산기업 시장분석 및 보고서 작성 대리급 경력자                            
벤처기업,"                                스타트기업 딥러닝,빅데이터 연구개발(C#, C++, Python) 신입,사원,주임급 구함(굿커리어)                            "
대기업 계열사·자회사,"                                데이터분석,관리 대리-과장급 2명(자동차 판매 대기업 계열사)                            "
중소기업(300명이하),                                빅데이터 컨설팅(과/차장급)                            
중소기업(300명이하),                                빅데이터 분석 플랫폼 (ML / AI)                            
대기업 계열사·자회사,"                                금융투자솔루션 제공사 인공지능기반 분석모델 설계,개발 대리-과장급 채용                            "
대기업,"                                데이터분석,이커머스,전략기획,데이터사업 개발,컨설팅 대리-차장급 00명 채용(ICT대기업)                            "
대기업,                                [국내 전자 기업] 홈뷰티/홈헬스 마켓 센싱 전문가                            
중소기업(300명이하),                                기술 컨설팅(AI 기반 기술 분야)                            
중소기업(300명이하),                                인공지능(AI) 개발자                            
중소기업(300명이하),                                AR앱개발사 AI엔지니어                            
대기업,"                                자바 웹개발-백엔드,프론트엔드,공공프로젝트PM,데이터분석 각부문 00명 채용                            "
대기업 계열사·자회사,"                                빅데이터,인공지능-머신러닝,딥러닝,SW아키텍트,블록체인 과차장급 00명 채용                            "
대기업,"                                대기업 경제연구소의 국내외경제분석,보험금융산업연구,IT조선산업연구 과차장급 6명 채용                            "
㈜이앤오즈,                                4차산업혁명 교육전문 인공지능/메이커 콘텐츠 교육 및 개발 경력자를 찾습니다.                            
현대자동차㈜,[계약직] 채용운영/관리
㈜브레댄코,브레댄코 프랜차이즈 마케팅팀 신입/경력사원 모집
에이치씨에이에스 주식회사,[K Car] 케이카 2021년 상반기 신입 차량평가사 인재 채용
GS E&R,2020년 채용연계형 인턴 채용
㈜LG이노텍,[LG이노텍] 2020년 하반기 경력 사원 채용
㈜지엔엠라이프,GNMLIFE 2020 부문별 수시채용
㈜카카오,카카오 기술 직군 모집
㈜농협정보시스템,"정규직(경력,신입) 및 계약직 직원 모집"
기아자동차㈜,드라이빙센터 매니저 채용
㈜한국생활건강,2020년 하반기 각 부문 신입/경력사원 모집
현대자동차㈜,기업전략본부 신입 채용
이투스교육㈜,2020 이투스교육 블라인드 공채
베셀에어로스페이스,[베셀에어로스페이스] 하반기 각 부문별 정규직 채용
㈜한미홀딩스,"한미홀딩스㈜ 채용 (온라인 마케팅, 인사·총무·기획, 채용담당, 법무, 비서, 인테리어, 전기·기계 시설관리 등)"
더블유스코프코리아㈜,2020년 분야별 신입 및 경력사원 모집
CJ ENM,[E&M부문] 콘텐츠운영지원/방송제작지원 직군(고졸이상) 신입사원 모집
㈜종이나라,일반 사무관리 직원채용
건국대학교병원,[정규직] 2021년도 신입 사무직 채용
㈜에임메드,                                헬스케어 데이터 분석 및 사업기획(팀장) 채용                            
㈜빅밸류,"                                핀테크 스타트업 빅밸류 공개채용(데이터연구,개발)                            "
㈜휴넷,                                2020년 ㈜휴넷 데이터 엔지니어 경력직 모집                            
카카오뱅크,                                [빅데이터플랫폼] 데이터 플랫폼 운영자                            
㈜엔시스템,"데이터 프로세싱 (DW, Hadoop) 초급,중급 개발자 [SK플래닛 빅데이터 시스템 운영 - 경기 분당 판교]                            "
㈜써티웨어,                                [데이터사업부문] SW 개발 및 운영 경력자 채용                            
㈜에이치엠씨네트웍스,                                [스타트업] 케어네이션 데이터 분석가 채용                            
이씨이십일알앤씨㈜,                                [EC21R&C] 데이터 사이언티스트 채용 (빅데이터/Python/R/데이터마이닝)                            
㈜딜리버리랩,                                [딜리버리랩] 데이터 사이언티스트 신입/ 경력 모집                            
㈜화이트스캔,                                소셜 데이터 분석 담당자 채용                            
㈜핀테크,                                마이데이터 Data Analytics(데이터 분석가) 모집                            
㈜업보트엔터,                                ( 경력직 ) 데이터 처리 및  응용프로그램 개발자 채용                            
㈜어센트코리아,데이터 드리븐 마케팅 컨설턴트 채용 / (주)어센트코리아 마케팅2팀                            
세종경영자문㈜,                                빅데이터/통계/데이터 분석 경력 모집                            
세종경영자문㈜,                                빅데이터/통계/데이터 분석 신입 모집                            
㈜스피링크,                                AI 학습용 데이터 구축 사업을 함께할 PM 분을 모십니다.                            
㈜피디정보통신,"                                빅데이터 솔루션 개발자(데이터 마이닝, 데이터 사이언스) 모집                            "
펜타시스템테크놀러지㈜,                                [서울/대전/세종] 데이터 분석가 모집                            
에스이에이치인터내셔널,                                [더기프팅컴퍼니/R&D]  데이터엔지니어 경력직 채용(보충역 산업기능요원 채용)                            
㈜인스웨이브시스템즈,"                                [정규직 공채] 분야별 개발직, 지원직 신입/경력 모집 (주)인스웨이브시스템즈                            "
㈜케이티넥스알,                                ㈜kt NexR 2021년 상반기 각 부문별 신입 및 경력직 채용                            
㈜중앙일보,                                기획/개발/디자인/QA 경력사원 모집                            
한국해양과학기술원 부설 극지연구소,"                                2020년 극지연구소 NCS 기반 블라인드 채용 - 정규직(행정직), 무기계약직(행정원) 공개채용 공고                            "
㈜LG이노텍,"                                LG이노텍 R&D 경력사원 모집(Actuator/렌즈/금형사출, 반도체기판, 모터제어, AI/DX)                            "
콘센트릭스서비스코리아(유),                                [Concentrix] 웹개발/Data Engineer/Data Analyst/Data Scientist 채용                            
서브원,                                수출운영/구매/프로세스기획 경력 채용                            
한국뷰로베리타스㈜씨피에스시험소,                                Bureau Veritas CPS Korea Ltd. 직무별 채용                            
㈜레뷰코퍼레이션,"                                플랫폼그룹(웹개발, 프로덕트오너, 글로벌서비스기획자) 경력직 채용                            "
㈜쓰리탑,                                2021년 부문별 경력/신입 모집 (주)쓰리탑                            
㈜지피지기소프트,                                2020년 하반기 공채 : 스마트시티사업부분 신입/경력직 채용 [전직장 대비 연봉 120퍼센트 지급]                            
행복쇼핑 주식회사,                                각 부문별 경력/신입 채용                            
㈜엔젠바이오,                                주식회사 엔젠바이오 각 부분별 정규직 채용                            
스카이랩스,                                2021 각 분야 모집(사업개발/해외영업/제품개발/연구개발/생산/경영지원)                            
㈜위메이드,                                [위메이드] DBA/Data Engineer 채용 공고                            
기아자동차㈜,                                ICT본부 경력 채용                            
에스케이에너지,                                DBM (Data-based Marketing) 분야 경력사원 채용 (Data Scientist)                            
에스케이에너지,                                DBM (Data-based Marketing) 분야 경력사원 채용 (석유사업 Data Lake 및 분석 Platform 운영)                            
에스케이에너지,                                DBM (Data-based Marketing) 분야 경력사원 채용 (Big Data System 기획/구축)                            
에스케이에너지,                                DBM (Data-based Marketing) 분야 경력사원 채용                            
㈜더에스엠씨그룹,                                [개발직군] 퍼블리셔/프론트엔드 경력 채용                            
㈜이글루시큐리티,                                IT 보안 솔루션 유지보수 신입 및 경력무관 모집                            
㈜위메프,                                [개발]NoSQL운영 및 기술지원 담당자                            
㈜코난테크놀로지,                                (주)코난테크놀로지 영업지원(신입) 모집                            
현대자동차㈜,                                [현대자동차] 차량 내비게이션 개발                            
㈜클라우드네트웍스,                                빅데이터 엔지니어 경력/신입 채용                            
사회복지법인월드비전,                                디지털 분석 담당자 정규직(신입/경력직) 채용                            
㈜엔씨소프트,                                [엔씨소프트] 음성합성 기술 R&D 분야 수시 모집                            
㈜휴넷,                                2020년 ㈜휴넷 영어학습플랫폼 서비스 기획자 채용                            
현대오토에버㈜,                                AI/ 음성인식/ 차량보안/ 빅데이터/ IoT 등 R&D 부문 경력채용                            
㈜마이뮤직테이스트,                                [마이뮤직테이스트] Growth Analyst 채용                            
현대자동차㈜,                                [현대자동차] AIRS컴퍼니 경력 상시채용                            
㈜지에스아이티엠(GSITM),                                빅데이터 및 AI 분석/개발 경력사원 모집                            
㈜휴넷,                                2020년 ㈜휴넷 인공지능 챗봇 개발 경력직 모집                            
현대자동차㈜,                                [전략지원] 빅데이터 분석                            
메가스터디교육㈜,                                [공무원온라인] 컨텐츠기획 및 상품기획 담당자 모집                            
㈜다비오,"                                (주)다비오 공간정보(GIS) 설계, 구축 담당자 채용                            "
㈜휴넷,                                2020년 ㈜휴넷 딥러닝 (자연어 처리 연구개발) 부문 경력직 모집                            
베스파,"                                [베스파] 게임 개발PM, Data Analyst, 개발QA 인재 모집                            "
굿어스데이터,                                Cloud 엔지니어 (신입/경력)                            
㈜크래프톤,                                [Anti-Cheat] Data Analyst                            
(유)세무법인혜움,                                백앤드 개발 Senior 모집                            
㈜성원애드피아,                                웹/앱 기획 경력직 모집                            
㈜에스디씨아이티,                                [SM] JVA개발자 정규직 채용                            
㈜그로브소프트,                                [퍼블리셔/기획] 경력직 추가 채용                            
옐로우윈,                                웹프로그래머(웹개발/하이브리드앱개발) 경력 개발자 채용                            
㈜씨에스리,                                [(주)씨에스리] 2021 상반기 신입 및 경력 채용                            
㈜이노디스,                                [정규직] Web/Mobile 기획자 모집                            
㈜블루시그널,"                                교통예측플랫폼 및 서비스 시스템 개발자 (빅데이터,인공지능)                            "
㈜미래융합연구원,                                채용 플랫폼 개발자 경력직 채용                            
㈜데이터유니버스,"                                [경력/정규직] 웹, 모바일 UI디자이너 채용                            "
㈜에이드,                                [우량기업]데이터분석 Data Analyst 과장급                            
㈜젠트로피,                                미래모빌리티 연구소 IT직군 모집                            
㈜엠코퍼레이션,                                빅데이터 분석 및 플랫폼 개발 인재를 모십니다.                            
㈜피넛테크,"                                Python, Golang  분석서버 개발자 모집 (경력3년이상, 광고플랫폼개발)                            "
계명대학교 동산의료원,                                계명대학교 동산병원 정규직 전환 계약직(행정) 공개경쟁채용 공고                            
㈜지피지기소프트,                                똑똑한 기획자를 모십니다 - [전직장 연봉 기준 120퍼센트 지급]                            
어니컴㈜,                                [어니컴(주)] 빅데이터 분석/시스템구축개발자 모집(신입/경력)                            
클로봇,                                로봇관제 시스템 Backend 개발자 채용                            
한국전력정보,                                인공지능/빅데이터 분석 담당자 채용                            
포스켄㈜,                                Python 개발자 채용합니다.                            
주식회사 플랫팜,                                글로벌 이모티콘 서비스를 만들어 갈 각 부문 인재 채용                            
에이치알니즈,                                유통대기업) Data Engineer 대리과장급 채용                            
㈜크래프톤,                                [XTRM] Data Engineer                            
(주)엠디헬스케어,                                AI 분석 연구원 신입 or 경력 신규 채용                            
㈜혜움랩스,                                Senior백엔드 개발자 채용                            
㈜카카오페이,                                [카카오페이] 시니어 프로덕트 매니저 영입                            
㈜카카오페이,                                [카카오페이] 프로덕트 매니저 영입                            
큐픽스,                                [전문연구요원/Research] Computer Vision/Deep Learning/SLAM                            
㈜카비,"                                Back-End, Front-End 개발자 모집                            "
카폐인워시,                                Business Intelligence(BI)실Data Analysis 팀장                            
㈜리플에이아이,                                서울대 spin-off 스타트업 RippleAI에서 백엔드 개발자를 찾습니다.                            
지이씨엘코리아,                                2021년 상반기 GECL KOREA 주요직무 신입/경력직 인재채용                            
㈜엠티콜렉션,                                [메트로시티] CRM팀 경력 채용                            
언빈,                                2021년 상반기 AI 영상인식 및 Iot 홈네트워크 개발자 모집                            
㈜크래프톤,                                [XTRM] Data Analyst                            
㈜씽크풀,                                프로그래머(개발자) 정규직 채용(장기근무 환경)                            
㈜악어디지털,                                웹개발자 및 어플리케이션 개발자 경력채용                            
㈜이엘온소프트,                                [기업부설연구소] 금융/공공 웹/응용 솔루션 개발 경력자 모집                            
㈜아이앤아이솔루션,                                DevOps Engineer 채용                            
라인파이낸셜플러스㈜,                                Fintech Data Scientist                            
유펜솔루션,                                [유펜솔루션]백엔드/웹크롤링/머신러닝 개발 및 연구 정규직 채용                            
㈜로드와이즈,"                                [인공지능] 영어자동첨삭엔진 연구개발 ( Java, Node.js)                            "
㈜에이모,                                MLOps Engineer 채용                            
㈜써티웨어,                                [기술연구소]  웹 개발자 및 머신러닝 엔지니어 신입/경력직 채용                            
㈜크래프톤,                                [PUBGM] Global Performance Marketing Manager(PM)                            
에이스솔루션,                                [긴급]에이스솔루션 정보시스템 감리원 채용공고                            
㈜페퍼저축은행,                                페퍼저축은행 소매여신리스크관리본부 채용공고                            
㈜플랫커머스,"                                [경력] 하이브리드앱 개발 개발자 모집 (python, PHP, mysql 등)                            "
㈜스포트라이트101,                                플랫폼 서비스 개발자 채용                            
커넥트밸류㈜,                                PHP 웹 개발자(프로그래머) 채용                            
효성ITX㈜,                                [효성ITX] 스마트팩토리부문 신입/경력사원 모집                            
대기업,데이터 엔지니어 경력직 채용                            
중견기업(300명이상),                                [유명 소프트웨어 기업] 데이터 엔지니어                            
대기업,"                                [ 대기업 ] Data Engineer (DW, BI 데이터 엔지니어)                            "
생활/환경가전 대기업,"데이터 엔지니어 / 대리,과장급/ 대기업 IT센터                            "
벤처기업,                                커머스 유망 스타트업 데이터 엔지니어                            
중견기업(300명이상),데이터 아키텍트                            
유명금융자회사,                                [대기업 금융계열] 데이터 분석가                            
대기업 계열사·자회사,                                유통대기업 데이터베이스 관리(DBA)                            
대기업 계열사·자회사,                                대기업/상장사 데이터 엔지니어                            
벤처기업,                                [유망 AI 스타트업] 데이터 운영 기획                            
대기업,"                                보험 데이터 분석 설계,장기보험 TM채널 기획 차부장급 0명 채용                            "
대기업,                                초우량유통대기업 데이터모델링 과장급                            
벤처기업,데이터 엔지니어 - 유명 스타트업                            
벤처기업,데이터 사이언티스트 - 유명 스타트업                            
대기업,"데이터 엔지니어 모집(가전제품 제조 대기업 / 대리,과장급)                            "
중소기업(300명이하),                                [코스닥/그룹사/검색포탈] 데이터 엔지니어 (5년 이상)                            
벤처기업,"                                교육 플랫폼 전문기업, 데이터 엔지니어 모집                            "
대기업 계열사·자회사,"데이터 기획 대리과장급(양,H)                            "
벤처기업,                                [e-커머스 스타트업] 데이터 사이언티스트                            
벤처기업,                                [e-커머스 스타트업] 데이터 엔지니어                            
대기업 계열사·자회사,데이터 분석가 채용 [유명 핀테크사 (위치 판교)]                            
대기업 계열사·자회사,                                초우량상장사 데이터엔지니어 대리과장급                            
중견기업(300명이상),                                No. 1 이러닝 에듀업체 퍼포먼스 마케터 채용                            
대기업,                                긴급) 업계 최고 대기업 - 머신러닝 엔지니어 (자연어처리) - 최우대                            
대기업,                                긴급) 머신러닝 엔지니어 (자연어처리) - 업계 최고 대기업 - 최우대                            
대기업,                                긴급) 머신러닝 엔지니어 (추천) - 업계 최고 대기업 - 최우대                            
대기업,                                긴급) 업계 최고 대기업 - 머신러닝 엔지니어 (추천) - 최우대                            
대기업,                                긴급) Data Engineer (7년 이상) - 업계 최고 대기업 - 최우대                            
대기업,                                긴급) 업계 최고 대기업 - Data Engineer (7년 이상) - 최우대                            
외국계 기업,                                10. IT Data Analyst (대리/과장급)                            
외국계 기업,                                [외국계기업 사업개발팀 analyst (경력)                            
외국계 기업,                                Data Engineer 채용/외국계 디지털마케팅 솔루션                            
중소기업(300명이하),                                Data Scientist 모집                            
외국계 기업,                                Data Scientist-메이져 글로벌 컨설팅펌                            
중견기업(300명이상),                                Global Data Scientist-글로벌Top 자동차 부품회사                            
대기업,"                                긴급) Data Architect (DA, 7년 이상) - 업계 최고 대기업 - 최우대                            "
대기업,"                                긴급) 업계 최고 대기업 - Data Architect (DA, 7년 이상) - 최우대                            "
중소기업(300명이하),                                Data Engineer 모집                            
벤처기업,                                커머스 유망 스타트업 DA                            
외국계 기업,                                ML Engineer-메이져 글로벌 컨설팅펌                            
중견기업(300명이상),                                클라우드 솔루션 아키텍트                            
대기업 계열사·자회사,                                (대기업) DB 엔지니어 채용안내                            
벤처기업,                                [유망 AI 스타트업] Data Analyst                            
중소기업(300명이하),                                [AI기반 교육 플랫폼 기업] 디지털마케팅 리드                            
국내 굴지의 물류 대기업 그룹사,                                연봉 8천만원 빅데이터 AI전문가 1분 및 AI 비젼인식1분  대리 혹은 과장급 국내굴지의 물류 대기업 그룹사 정규직 서울시 중구 본사근무                            
대기업,                                초우량유통대기업 데이터분석 과장급                            
벤처기업,                                그로스 매니저 - 유명 스타트업                            
외국계 기업,                                [Global Company] Data Analyst (대리-차장급)                            
벤처기업,                                빅데이터 분석 담당자 모집(핀테크 벤쳐기업 / 신입지원 가능 )                            
중소기업(300명이하),                                퍼포먼스 마케터 리드-국내 유망 교육 콘텐츠 업체                            
외국계 기업,                                Data Scientist 채용/외국계 디지털마케팅 솔루션                            
대기업,                                AI 비전 인식 대리-과장 물류 대기업 112                            
중소기업(300명이하),"                                AI솔루션개발-머신러닝,딥러닝(신입,경력)k                            "
IT벤처기업,                                [IT벤처기업] AI팀 디렉터 (과장급)                            
대기업 계열사·자회사,                                외국계 대기업) Data Analyst 경력직 채용                            
중소기업(300명이하),"                                IT 솔루션 우량 기업, AI 개발자 신입 & 경력직 (분당)                            "
대기업 계열사·자회사,                                플랫폼 개발 : AI 기반/경력3년이상                            
(주)빅밸류,                                [부동산 빅데이터 기업]디렉터(과장급) 채용                            
중소기업(300명이하),"                                (디지털 헬스케어 전문기업)생체신호 처리, 분석 알고리즘 개발자                            "
대기업,"                                ICT서비스 플랫폼개발 & DBA & AI개발, 빅데이터 개발, 검색개발                            "
대기업,                                [ 대기업 ] 머신러닝 엔지니어 - 검색추천                            
대기업,                                [ 대기업 ] 빅데이터 플랫폼 엔지니어 (Data Engineer)                            
대기업,                                [ 대기업 ] Data Scientist (AI 분석 기획 및 수행)                            
대기업,                                글로벌 컨설팅 펌에서 NLP Engineer 경력자 채용                            
대기업,                                글로벌 컨설팅 펌에서 Data Scientist 경력자 채용                            
대기업,                                국내 최고 화장품회사  머신러닝 엔지니어 (자연어처리)                            
벤처기업,"                                [스포츠ICT기업] 스포츠 영상분석 (C,C++)                            "
외국계 기업,                                NLP Engineer-메이져 글로벌 컨설팅펌                            
대기업 계열사·자회사,                                10대 대기업 AI Data분석 과장급이상                            
초우량 반도체 기업,                                [초우량 반도체 기업] Data Engineer                            
중소기업(300명이하),                                국내 제약 대기업 계열사 Data Scientist (대리-과장)경력 모집                            
중견기업(300명이상),                                스마트팩토리-국내 유명 대기업 IT 계열사                            
중소기업(300명이하),                                [중소/이노비즈/강남] Big Data Platform 구축 및 개발자 (5년이상)                            
외국계 기업,                                [외국계 디지털마케팅 기업] Engineer Team Leader (팀장)                            
중소기업(300명이하),                                텔레메틱스 빅데이터 플랫폼 구축개발 경력자 대리급                            
대기업,                                [IT서비스 대기업] 빅데이터 Biz. 전략                            
중소기업(300명이하),"                                생체신호 처리 및 분석 알고리즘 개발자 (대리 이상, 2명)                            "
대기업,                                Data Scientist 채용(금융대기업)                            
데이터랩,광동제약 회계팀 직원모집 (신입 / 경력직)
데이터핏,[LF자회사] 구르메F&B 2021년 상반기 경력직 채용
데이터넷,기획/개발/디자인/QA 경력사원 모집
데이터씨,2020년 하반기 각 부문 신입/경력사원 모집
비즈데이터,오프라인PM/온라인팀장/온라인 MD&AMD/인포메이션 직원 채용
㈜가온데이터,[더블유씨피㈜] 신입 및 경력사원 모집
㈜앵커데이터,신입 및 경력사원 공채
㈜데이터윙스,[E&M부문] 콘텐츠운영지원/방송제작지원 직군(고졸이상) 신입사원 모집
빅스데이터㈜,[김포/인천] 각 부문별 사원 모집
㈜데이터플로,2020-3차 인턴연구원 채용
㈜메쉬코리아,                                [메쉬코리아(부릉)] Data Engineer 경력직 채용                            
㈜인피닉,                                [경력/가산] IT 관련 국내외 홍보 및 이벤트(AI Data)                            
㈜인피닉,"                                [경력/가산] IT 관련 B2B, B2G 국내외 영업 및 관리(AI Data)                            "
에스원,                                2021년 경력사원 채용 (빅데이터)                            
에스원,                                2021년 경력사원 채용                            
카카오페이,                                [카카오페이] 결제/금융서비스 사업전략 담당자 영입                            
㈜엔시스템,"                                데이터 프로세싱 (DW, Hadoop) 초급,중급 개발자 [SK플래닛 빅데이터 시스템 운영 - 경기 분당 판교]                            "
㈜타이호인스트,                                AI사업팀 개발자 채용(경력)                            
에스피테크놀러지,                                에스피테크놀러지(주) Java 개발자 모집                            
㈜스캐터엑스,                                데이터 사이언티스트를  모십니다.                            
㈜크래프톤,                                Deep Learning Research Engineer- General                            
외국계 기업,"                                3. Senior Data Analyst, Underwriting as a Business [외국계 보험사]                            "
외국계 기업,Data Scientist 채용/외국계 디지털마케팅 솔루션                            
외국계 기업,Data Engineer 채용/외국계 디지털마케팅 솔루션                            
중소기업(300명이하),Data Scientist 모집                            
중소기업(300명이하),Data Engineer 모집                            
중소기업(300명이하),Data Engineer 채용                            
대기업,                                [대기업] Data Engineer                            
중소기업(300명이하),"                                Big Data Platfom 구축 및 개발 (대리-부장), 서초구                            "
벤처기업,                                데이터 엔지니어 - 유명 스타트업                            
중견기업(300명이상),                                데이터 아키텍트                            
중견기업(300명이상),                                국내 1위 구매 SCM 솔루션 기업 AI기반 솔루션 기획 담당                            
중소기업(300명이하),                                데이터 마케팅 (팀장급)-국내외 유명 라이프스타일 이커머스                            
㈜로캘리,인천항 수출입 화물 검수사 채용
㈜밀버스,2021년도 전액국비 4차산업 취업연계과정 교육생 모집
㈜블릭트,오프라인PM/온라인팀장/온라인 MD&AMD/인포메이션 직원 채용
㈜엔텔스,'21(상) 한화시스템 방산부문 연구개발/생산기술 분야 경력사원 채용
㈜빌트온,광동제약 회계팀 직원모집 (신입 / 경력직)
애니컨,생산기술-도장 (로봇/비전) 경력직 채용
피피에스㈜,"[정규직 공채] 분야별 개발직, 지원직 신입/경력 모집 (주)인스웨이브시스템즈"
대기업,                                [ 대기업 ] 머신러닝 엔지니어 - 검색추천
중견기업(300명이상),                                제약/바이오 업체 임상 총괄 (이사급)                            
중견기업(300명이상),"                                [분당]임상QA팀 임상시험 품질보증, 품질관리(사원-대리 1명,과장 1명)                            "
중소기업(300명이하),                                기술 영업 (사업제안/프로젝트 PM 경력)                            
중견기업(300명이상),"                                [분당]임상QA팀 임상시험 품질보증, 품질관리(사원-대리 1명,과장급 1명)                            "
중견기업(300명이상),"                                [분당]  임상개발/운영(PM/SM, 1-3년 ) 의약학/간호학                            "
중소기업(300명이하),"                                제조 빅데이터 서비스포털 플랫폼 개발 (수석급), 강남구                            "
중소기업(300명이하),                                python 인공지능 API 빅데이터보안연구 1년이상 경력자                            
위티,슈피겐코리아 신입/경력 채용
리브온,[김포/인천] 각 부문별 사원 모집
㈜트리팜,카카오 부문별 어시스턴트 모집
데이블,"[신입/경력] 2021년 상반기 무역,마케팅/디자인/퍼블리셔 공개 채용"
로또역전,신입 및 경력사원 공채
써모피셔사이언티픽 코리아,써모피셔 사이언티픽 코리아 2021 상반기 채용
한국전력공사,2020년도 3차 연구직 직원 모집
서울대학교 캠퍼스타운 사업단,서울대학교 캠퍼스타운사업단 직원(일반행정) 채용 공고
쿠팡 주식회사,"쿠팡맨 채용(월400가능/주5일/신입,여성 가능)[경기권]"
서앤장알앤디,"[중식제공/단순사무업무] 사무보조, 경리 채용"
페이레터㈜,페이레터㈜ 사원 및 경력 모집
주식회사 앱코,[2020년 12월 코스닥 상장] 국내/해외 각 부문별 공채
㈜이덕아이앤씨,[알레르망] 2020년 하반기 공채 모집
㈜점포라인,[연봉3900만원]점포 상가 매물조사 직원모집(매주 수당지급)
㈜지아이티,각 부문 경력/신입사원 수시채용
현대자동차㈜,파이롯트센터 신입 상시채용
유니온화성㈜,영업부 및 공무부 - 신입 및 경력 채용
㈜이엔에스코리아,(주)이엔에스코리아 각 부문별 신입 및 경력직 모집
㈜포인트닉스,2020 (주)포인트닉스 공개채용
SK하이닉스시스템아이씨㈜,각 부문 신입 및 경력직원 채용
제일건설㈜,상반기 신입 및 경력사원 공개채용
미스터픽,[첫차]에서 경영지원팀 멤버를 모집합니다.
나팔꽃에프앤비,오프라인PM/온라인팀장/온라인 MD&AMD/인포메이션 직원 채용
카카오커머스,각 부문 수시 영입
㈜지엔엠라이프,GNMLIFE 2021 부문별 수시채용
