corp_nm,job_title
(주)솔트룩스,인공지능(AI) 전문기업 솔트룩스 - JAVA개발자
(주)정상라이다,S/W
(주)드림어스컴퍼니,Platform FLO 서비스 기획 담당자 채용
(주)에이아이스페라,DBA
(주)스냅스,R&D연구
(주)그린랩스,소싱전략팀 스페셜리스트
포스크리에이티브파티(주),Matchmove
(주)엔씨소프트,[리니지2M] 컨텐츠 사업 담당자 모집 (주니어)
잡플래닛 매칭서비스,AI분야 스타트업 - Machine Learning Engineer
패스트캠퍼스,[경력] 퍼포먼스 마케터 리드
(주)우아한청년들,마케팅 팀장
잡플래닛 매칭서비스,국내 중견 제약회사 입니다. - Global Marketing (팀장급)
(주)아그레아블,[윙잇] 커머스 React 프론트엔드 개발자
글로벌라이프사이언스솔루션즈코리아(유),Diagnostics Design-Field Application Scientist
