corp_nm,detail
(주)위메프,[개발]E-Commerce 데이터 엔지니어/NLP개발자(정규직)
(주)아름다운화장품,SNS 온라인 데이터 분석 디지털 마케터 채용
(주)잡뉴스솔로몬서치,"제조 빅데이터 서비스포털 플랫폼 개발 (수석급), 강남구"
(주)토이스미스,데이터 분석 경력자 채용
(주)타파크로스,소셜빅데이터 기술연구소 시스템 개발 연구원 채용공고
(주)갤리언컨설팅그룹,[글로벌 게임 통계 TOP 기업] 데이터분석가(컴퓨터비전연구)
베스핀글로벌(주),Cloud Security Service 개발 - 데이터처리(경력 5년 이상)
(주)퍼즐데이터,퍼즐데이터 서비스 기획자(Product Manager) 채용
(주)여기어때컴퍼니,[여기어때] 데이터인사이트팀 데이터분석가 채용(경력)
(주)모아데이타,AI Laboratory 데이터 분석가(석사 이상) 모집
(주)여기어때컴퍼니,[여기어때] 데이터 엔지니어 (DBA/DW구축) 채용
(주)인큐브시스템,[대기업 계열사] 데이터 네트워크 운영
매드업,[테크사업부] 데이터 사이언티스트 채용
(주)데이터리퍼블릭,인공지능/빅데이터 개발자(Django + PyTorch)
(주)언빈,2021년 상반기 인공지능 영상인식 개발및 데이터 운영직원 모집
(주)더라이징스타헤딩,[헤딩머니100만원] 데이터 과학자 모집(3년 이상)
(주)더라이징스타헤딩,[OPGG] 데이터 분석가
반석써치(주),빅데이터 개발팀(과장-차장) -코스닥상장기업
피앤제이컨설팅,백엔드 개발자 (데이터 엔지니어) 채용
스카우트피플,데이터 사이언티스트 경력자 채용.  경력 3~9년 이상.
(주)엔브레인,(빅데이터) 의료영상/데이터를 이용한 질병예측 개발자 모집
굿커리어,대기업 빅데이터 분석(경남) 대리급 구함(굿커리어)
맨파워스카우트,대기업 빅데이터 전문가
(주)컨셉터스,빅데이터플랫폼 웹 Back-end (백엔드) 경력개발자 모집
(주)컨셉터스,빅데이터 플랫폼 iOS APP (아이폰앱) 경력개발자 모집
(주)컨셉터스,빅데이터 플랫폼 응용프로그램 경력개발자 모집
라이트스텝스,[유니콘기업] 데이터분석가
(주)우림아이씨티,AI 머신비전 데이터 엔지니어 모집
베스트네트워크㈜,3. 빅데이터 경력직 (대리/과장급) 채용 [외국계 금융사]
KY컨설팅그룹,[마포구/ 지도데이터 전문기업]기술연구소장(센터장) 초빙
KY컨설팅그룹,지도데이터 기술스타트업 기술연구소장(센터장) 모집
휴머레인컨설팅,긴급) 그로스해킹&데이터분석 - 최고 대기업 - 최우대
휴머레인컨설팅,긴급) 최고 대기업 - 그로스해킹&데이터분석 - 최우대
(주)비츠로테크,비츠로그룹 경력직(정보DB화-Data 수집/분석) 모집
(주)펄핏,Data Team Lead 채용
쿠팡 주식회사,[쿠팡이츠] Data Analyst 경력직 채용 (신입 가능)
(주)알고리고,알고리고에서 Data Scientist를 모십니다(전문연구요원 가능)
(주)테스트웍스,[테스트웍스] AI 서비스 Data manager 채용 신입가능
(주)삼성라이온즈,DATA 전력분석 경력직 채용공고
에스케이하이닉스(주),[경력] NAND Data분석 경력사원 채용
존슨앤드존슨,[한국얀센] Data Scientist
(주)베스파,[베스파] 마케팅 부문별(기획/Data Analyst/영상) 인재 모집
(주)마인즈앤컴퍼니,"[정규직] 인공지능(AI) ML engineer, Data Scientist 채용"
(주)더라이징스타에스,[외국계기업] Data analyst (신입-대리)
(주)맨파워코리아,[금융지주연구소] Big data scientist
(주)카비,전문연구요원 채용: Data Scientist /영상인식/알고리즘 개발
(주)티몬,[티몬] Data Scientist
(주)헬로서치,유명 모바일앱 개발사 Data analyst 팀장급 모집
(주)어센트코리아,(주)어센트코리아 Data Marketing Director 채용
에스에프인촌,경영전략/Data Scientist 경력인재 채용 - 글로벌 우량대기업
에스에프인촌,Data Scientist 경력인재 채용 - 글로벌 우량대기업
에스에프인촌,글로벌대기업 - Data Scientist 경력인재 채용
(주)인큐브시스템,[대기업계열사]  Data Scientist 경력직 채용
(주)인큐브시스템,[대기업계열사]  Data Architect 경력직 채용
(주)인큐브시스템,[외국계 대기업]  Data Scientist 경력직 채용
(주)인큐브시스템,[외국계 대기업]  Big data Analysis Consultant 경력직 채용
(주)파운트,[핀테크] 파운트 Backend/Data Engineer 채용
(주)싱크테크노,(주)싱크테크노 경력직 DATA Scientist 채용
(주)브레인커머스,[유망 AI 스타트업] Data Scientist
터닝포인트HR,[포털 자회사] Data Analyst 채용
(주)코어포인트,"XAI(AI), Data Scientist 전문인력 채용(차장급-대리급, 10여명)"
안진회계법인,[Deloitte] 회계감사본부 Data Specialist 모집
(주)스카우트,마케팅 데이타 분석 컨설턴트 (국내 최고대기업 계열)
(주)에이치알맨파워그룹,IT 대기업 Data Scientist(컨설턴트) 경력 채용
(주)에이치알맨파워그룹,IT 대기업 Data Scientist(분석가) 경력 채용
(주)씨앤에이코리아,[코스닥상장 중견그룹사] Data Engineer 모집 (2명)
(주)씨앤에이코리아,[코스닥상장 중견그룹사] Data Scientist 채용 (대리~차장급)
