corp_nm,detail
휴머레인컨설팅,긴급) DevOps Engineer (5년 이상) - 국내 대기업 계열사-최우대
(주)미니소프트,[정규직] 챗봇 솔루션 개발 연구원 모집
(주)비카누스,[제품개발연구소] 영상처리 경력 개발자 채용
메이븐코리아(주),"RPA 엔지니어, RPA 프로세스 디자이너 모집 (신입/경력)"
㈜한국마스터,[성수] [기술연구소] Java 솔루션 개발(컴퓨터 비전 검사)
(주)피너클써치,NLP (자연어처리) Text Mining 연구원 - 3대금융 IT 대기업
(주)핀커스코리아,기간계 분석파트 리더/개발(정규직) - 대기업 SI계열사
(주)팬토믹스,소프트웨어 분야 채용에 많이 지원해 주세요 (정규직/경력무관)
부동산일일사(주),부동산데이터 구축 담당 직원 모집
TIS정보기술교육센터,[강사채용]주말반 강의(파이썬/R/빅데이터분석)
(주)너드소프트,빅데이터 담당자 채용(자동차 분야 1위)
한국직업전문학교,빅데이터 자바 직업훈련교사
(주)페퍼저축은행,페퍼저축은행 소매여신리스크관리본부 채용공고
주식회사 코리아정보보안아이티아카데미신촌,"프로그래밍(C, 파이썬, 자바, 안드로이드 등) 강사 채용"
